Time,Sales Rank,New Price,List Price,Month
12/8/2024 23:28,1505,179.95,179.99,12
12/9/2024 2:29,1439,179.95,179.99,12
12/9/2024 5:30,1372,179.95,179.99,12
12/9/2024 8:30,1404,179.95,179.99,12
12/9/2024 11:31,1400,179.95,179.99,12
12/9/2024 14:32,1348,179.95,179.99,12
12/9/2024 17:32,1358,179.95,179.99,12
12/9/2024 20:33,1401,179.95,179.99,12
12/9/2024 23:34,1391,179.95,179.99,12
12/10/2024 2:34,1412,179.95,179.99,12
12/10/2024 5:35,1418,179.95,179.99,12
12/10/2024 8:36,1453,179.95,179.99,12
12/10/2024 11:37,1473,179.95,179.99,12
12/10/2024 14:37,1430,179.95,179.99,12
12/10/2024 17:38,1413,179.95,179.99,12
12/10/2024 20:39,1390,179.95,179.99,12
12/10/2024 23:39,1376,179.95,179.99,12
12/11/2024 2:40,1403,179.95,179.99,12
12/11/2024 5:40,1423,179.95,179.99,12
12/11/2024 8:41,1471,179.95,179.99,12
12/11/2024 11:42,1540,179.95,179.99,12
12/11/2024 14:43,1471,178.99,179.99,12
12/11/2024 17:43,1476,179.95,179.99,12
12/11/2024 20:44,1477,179.95,179.99,12
12/11/2024 23:44,1415,179.95,179.99,12
12/12/2024 2:45,1450,179.95,179.99,12
12/12/2024 5:46,1495,179.95,179.99,12
12/12/2024 8:47,1455,179.95,179.99,12
12/12/2024 11:48,1328,179.95,179.99,12
12/12/2024 14:49,1366,179.95,179.99,12
12/12/2024 17:49,1398,179.95,179.99,12
12/12/2024 20:50,1406,179.99,179.99,12
12/12/2024 23:51,1391,179.99,179.99,12
12/13/2024 2:51,1261,179.99,179.99,12
12/13/2024 5:52,1295,179.99,179.99,12
12/13/2024 8:53,1298,179.99,179.99,12
12/13/2024 11:54,1344,179.95,179.99,12
12/13/2024 14:54,1397,179.95,179.99,12
12/13/2024 17:55,1414,179.95,179.99,12
12/13/2024 20:55,1380,179.95,179.99,12
12/13/2024 23:56,1336,179.95,179.99,12
12/14/2024 2:57,1343,159.99,179.99,12
12/14/2024 5:58,1295,179.95,179.99,12
12/14/2024 8:59,1487,179.95,179.99,12
12/14/2024 12:00,1516,179.95,179.99,12
12/14/2024 15:01,1537,179.95,179.99,12
12/14/2024 18:01,1534,179.95,179.99,12
12/14/2024 21:02,1543,179.99,179.99,12
12/15/2024 0:02,1498,179.99,179.99,12
12/15/2024 3:03,1417,179.95,179.99,12
12/15/2024 6:04,1424,179.95,179.99,12
12/15/2024 9:05,1380,179.95,179.99,12
12/15/2024 12:05,1431,179.95,179.99,12
12/15/2024 15:06,1442,179.95,179.99,12
12/15/2024 18:07,1465,179.95,179.99,12
12/15/2024 21:07,1460,179.95,179.99,12
12/16/2024 0:08,1476,179.95,179.99,12
12/16/2024 3:09,1393,179.95,179.99,12
12/16/2024 6:10,1319,179.95,179.99,12
12/16/2024 9:10,1336,179.95,179.99,12
12/16/2024 12:11,1372,179.95,179.99,12
12/16/2024 15:12,1352,179.95,179.99,12
12/16/2024 18:13,1338,179.95,179.99,12
12/16/2024 21:13,1365,179.95,179.99,12
12/17/2024 0:14,1300,179.95,179.99,12
12/17/2024 3:15,1311,179.99,179.99,12
12/17/2024 6:19,1333,179.99,179.99,12
12/17/2024 9:21,1389,179.95,179.99,12
12/17/2024 12:22,1411,179.95,179.99,12
12/17/2024 15:22,1420,179.95,179.99,12
12/17/2024 18:23,1435,179.95,179.99,12
12/17/2024 21:24,1427,179.95,179.99,12
12/18/2024 0:24,1375,179.95,179.99,12
12/18/2024 3:25,1392,179.95,179.99,12
12/18/2024 6:26,1362,179.95,179.99,12
12/18/2024 9:27,1379,179.95,179.99,12
12/18/2024 12:28,1370,179.95,179.99,12
12/18/2024 15:29,1406,179.95,179.99,12
12/18/2024 18:30,1389,179.95,179.99,12
12/18/2024 21:30,1417,179.95,179.99,12
12/19/2024 0:31,1412,179.95,179.99,12
12/19/2024 3:32,1341,179.95,179.99,12
12/19/2024 6:33,1306,179.95,179.99,12
12/19/2024 9:33,1258,179.95,179.99,12
12/19/2024 12:34,1241,179.95,179.99,12
12/19/2024 15:35,1275,179.95,179.99,12
12/19/2024 18:36,1331,179.95,179.99,12
12/19/2024 21:36,1322,179.95,179.99,12
12/20/2024 0:37,1320,179.95,179.99,12
12/20/2024 3:38,1361,179.95,179.99,12
12/20/2024 6:38,1302,179.95,179.99,12
12/20/2024 9:39,1265,179.95,179.99,12
12/20/2024 12:41,1199,179.95,179.99,12
12/20/2024 15:42,1180,179.95,179.99,12
12/20/2024 18:43,1217,179.95,179.99,12
12/20/2024 21:43,1202,179.95,179.99,12
12/21/2024 0:44,1212,179.95,179.99,12
12/21/2024 3:45,1173,179.95,179.99,12
12/21/2024 6:46,1164,179.95,179.99,12
12/21/2024 9:47,1167,179.95,179.99,12
12/21/2024 12:48,1199,179.95,179.99,12
12/21/2024 15:48,1218,179.95,179.99,12
12/21/2024 18:49,1226,179.95,179.99,12
12/21/2024 21:50,1222,179.95,179.99,12
12/22/2024 0:50,1224,179.95,179.99,12
12/22/2024 3:51,1241,179.95,179.99,12
12/22/2024 6:52,1242,179.95,179.99,12
12/22/2024 9:53,1183,179.95,179.99,12
12/22/2024 12:54,1286,179.99,179.99,12
12/22/2024 15:55,1288,179.99,179.99,12
12/22/2024 18:55,1301,179.99,179.99,12
12/22/2024 21:56,1326,179.99,179.99,12
12/23/2024 0:57,1359,164.95,179.99,12
12/23/2024 3:57,1409,179.95,179.99,12
12/23/2024 6:58,1433,179.99,179.99,12
12/23/2024 9:59,1453,179.95,179.99,12
12/23/2024 13:00,1501,179.95,179.99,12
12/23/2024 16:01,1512,179.99,179.99,12
12/23/2024 19:01,1517,179.99,179.99,12
12/23/2024 22:02,1564,179.95,179.99,12
12/24/2024 1:03,1535,179.95,179.99,12
12/24/2024 4:04,1607,179.95,179.99,12
12/24/2024 7:04,1597,179.95,179.99,12
12/24/2024 10:05,1639,179.95,179.99,12
12/24/2024 13:06,1670,179.95,179.99,12
12/24/2024 16:06,1685,179.95,179.99,12
12/24/2024 19:07,1685,179.99,179.99,12
12/24/2024 22:08,1642,179.99,179.99,12
12/25/2024 1:09,1582,179.99,179.99,12
12/25/2024 4:09,1562,179.99,179.99,12
12/25/2024 7:10,1447,179.99,179.99,12
12/25/2024 10:11,1487,179.99,179.99,12
12/25/2024 13:12,1322,179.95,179.99,12
12/25/2024 16:12,1384,179.95,179.99,12
12/25/2024 19:13,1387,179.95,179.99,12
12/25/2024 22:14,1282,179.95,179.99,12
12/26/2024 1:15,1303,179.95,179.99,12
12/26/2024 4:15,1167,179.95,179.99,12
12/26/2024 7:16,1148,179.95,179.99,12
12/26/2024 10:17,1235,179.95,179.99,12
12/26/2024 13:18,1248,179.95,179.99,12
12/26/2024 16:19,1273,179.95,179.99,12
12/26/2024 19:19,1303,179.95,179.99,12
12/26/2024 22:20,1305,179.95,179.99,12
12/27/2024 1:20,1429,179.95,179.99,12
12/27/2024 4:21,1378,179.95,179.99,12
12/27/2024 7:22,1369,179.95,179.99,12
12/27/2024 10:23,1377,179.95,179.99,12
12/27/2024 13:24,1382,179.95,179.99,12
12/27/2024 16:25,1397,179.95,179.99,12
12/27/2024 19:25,1351,179.95,179.99,12
12/27/2024 22:26,1467,179.95,179.99,12
12/28/2024 1:27,1689,179.95,179.99,12
12/28/2024 4:28,1687,179.99,179.99,12
12/28/2024 7:28,1669,179.99,179.99,12
12/28/2024 10:30,1738,179.95,179.99,12
12/28/2024 13:31,1770,179.95,179.99,12
12/28/2024 16:31,1815,179.99,179.99,12
12/28/2024 19:32,1818,179.99,179.99,12
12/28/2024 22:33,1806,179.95,179.99,12
12/29/2024 1:34,2006,179.95,179.99,12
12/29/2024 5:35,1684,179.95,179.99,12
12/29/2024 8:35,1745,179.95,179.99,12
12/29/2024 11:36,1809,179.95,179.99,12
12/29/2024 14:37,1821,179.95,179.99,12
12/29/2024 17:38,1852,179.95,179.99,12
12/29/2024 20:38,1929,179.95,179.99,12
12/29/2024 23:39,1952,179.99,179.99,12
12/30/2024 2:40,1900,179.99,179.99,12
12/30/2024 5:41,2065,179.95,179.99,12
12/30/2024 9:41,2034,179.95,179.99,12
12/30/2024 13:42,2189,179.95,179.99,12
12/30/2024 17:43,2137,179.95,179.99,12
12/30/2024 21:43,2115,179.95,179.99,12
12/31/2024 1:44,1906,179.95,179.99,12
12/31/2024 17:37,1906,179.95,179.99,12
